time,x,y,z,roll,pitch,yaw,linx,liny,linz,angx,angy,angz,cmd_linx,cmd_liny,cmd_linz,cmd_angz
1762203440.915450,-0.001281,-0.011241,1.037309,0.009592,-0.006885,-2.710357,-0.005488,-0.014185,0.011879,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203440.948778,-0.001446,-0.009771,1.038512,0.008079,-0.006309,-2.710415,-0.006295,-0.019034,0.016293,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203440.982105,-0.001504,-0.009251,1.038937,0.008079,-0.006309,-2.710415,-0.006295,-0.019034,0.016293,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203441.015442,-0.001504,-0.009251,1.038937,0.008079,-0.006309,-2.710415,-0.006295,-0.019034,0.016293,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203441.048805,-0.001504,-0.009251,1.038937,0.008079,-0.006309,-2.710415,-0.006295,-0.019034,0.016293,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203441.082088,-0.001724,-0.007287,1.040543,0.008079,-0.006309,-2.710415,-0.006295,-0.019034,0.016293,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203441.115479,-0.001852,-0.006550,1.040647,0.008079,-0.006309,-2.710415,-0.005151,-0.019327,0.002793,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203441.148823,-0.001852,-0.006550,1.040647,0.008079,-0.006309,-2.710415,-0.005151,-0.019327,0.002793,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203441.182096,-0.002063,-0.005323,1.040821,0.006580,-0.006960,-2.710505,-0.005149,-0.019327,0.002793,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203441.215485,-0.002063,-0.005323,1.040821,0.006580,-0.006960,-2.710505,-0.005149,-0.019327,0.002793,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203441.248768,-0.002289,-0.004014,1.041007,0.006580,-0.006960,-2.710505,-0.005149,-0.019327,0.002793,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203441.282113,-0.002289,-0.004014,1.041007,0.006580,-0.006960,-2.710505,-0.005149,-0.019327,0.002793,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203441.315448,-0.002520,-0.002675,1.041196,0.006580,-0.006960,-2.710505,-0.005149,-0.019327,0.002793,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203441.348785,-0.002520,-0.002675,1.041196,0.006580,-0.006960,-2.710505,-0.005149,-0.019327,0.002793,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203441.382089,-0.002520,-0.002675,1.041196,0.006580,-0.006960,-2.710505,-0.005149,-0.019327,0.002793,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203441.415420,-0.002685,-0.001227,1.041476,0.005607,-0.006790,-2.710674,-0.004331,-0.013197,0.002668,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203441.448776,-0.002735,-0.000795,1.041560,0.005607,-0.006790,-2.710674,-0.004331,-0.013197,0.002668,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203441.482063,-0.002828,0.000022,1.041718,0.005607,-0.006790,-2.710674,-0.004331,-0.013197,0.002668,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203441.515445,-0.002828,0.000022,1.041718,0.005607,-0.006790,-2.710674,-0.004331,-0.013197,0.002668,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203441.548781,-0.002828,0.000022,1.041718,0.005607,-0.006790,-2.710674,-0.004331,-0.013197,0.002668,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203441.582089,-0.003074,0.001380,1.038918,0.008037,-0.006798,-2.710336,-0.003580,-0.013890,-0.029104,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203441.615679,-0.003074,0.001380,1.038918,0.008037,-0.006798,-2.710336,-0.003580,-0.013890,-0.029104,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203441.648848,-0.003183,0.001983,1.037674,0.008037,-0.006798,-2.710336,-0.003580,-0.013890,-0.029104,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203441.682140,-0.003183,0.001983,1.037674,0.008037,-0.006798,-2.710336,-0.003580,-0.013890,-0.029104,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203441.715461,-0.003351,0.002914,1.035755,0.008037,-0.006798,-2.710336,-0.003580,-0.013890,-0.029104,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000
1762203441.748780,-0.003371,0.003787,1.032523,0.005848,-0.007094,-2.710054,-0.005723,-0.013203,-0.053262,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000
1762203441.782108,-0.003371,0.003787,1.032523,0.005848,-0.007094,-2.710054,-0.005723,-0.013203,-0.053262,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000
